reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,Sentiment
5522d10e-e7f8-41eb-a31f-704f592fb704,Ade Yovana Sari,https://play-lh.googleusercontent.com/a-/ACB-R5SYvZ8ZPALLqPr2qLUKHy2DHUtGdCSnwndtG34BwA,"Gratis ongkir sangat tidak sesuai, biaya tambah banyak, pengiriman sangat sangat lama. Percuma bayar lebih pake pengiriman reguler, mending pake kargo. Sudah bbrp kali produk jadi tidak bisa digunakan sesuai rencana karena telatnya pengiriman. Trims toped.",1,196,3.217,2023-05-13 12:26:48,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi. Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2023-05-13 13:04:05,3.217,negatif
dfadd18c-6175-42cb-bd2a-b0b5c8833b59,Dessy Wulandari Eka Putri,https://play-lh.googleusercontent.com/a-/ACB-R5QHxUYHsXIKzpP9lZUjj60HEoK8Yf6GsW9uZ3Akqw,Zonk. Aplikasi nya ok tapi saya yang belum pernah transaksi token listrik ketika transaksi pertama tidak bisa menggunakan promo yg ada (katanya sudah pernah dipakai).Biaya penangganan 1000 dan biaya jasa tapi pelayanan zonk . Cashback yg jarang ada dan seringnya ketika ada cashback tidak masuk ketika transaksi selesai (ngapain bilang ada cashback kalo ternyata zonk). Harusnya bisa ada review untuk jasa ekspedisi (bukan cuma toko dan barang) . Buruk sekali tidak berkembang malah mundur mutunya,1,594,3.217,2023-05-10 14:06:24,"Hai Kak Dessy , mohon maaf atas kendala yang Kakak alami ya Kak, Kritik dan saran dari Kakak menjadi dasar pengembangan sistem/produk ini untuk menjadi lebih baik lagi.  Jika Kakak mengalami kendala silahkan Kakak bisa melakukan pelaporan melalui tkp.me/supportMainapps agar kami bantu pengecekan kendalannya lebih lanjut ya Kak :) -NF",2022-09-21 04:37:56,3.217,negatif
bdd45c5c-45df-4526-bbd6-e313e4bdb046,Diva Farah Lumaya Sabina,https://play-lh.googleusercontent.com/a-/ACB-R5Sp8YP533GOMbVBcWTlnttpsncwVL8bQcmJlRiByg,"Saat checkout barang, total keseluruhan belanja bukannya langsung diliatin semuanya malah harus liat Invoice dulu, kesan pertama memakai Tokopedia jadi jelek. Apalagi ditambah dengan kenaikan Biaya Layanan Aplikasi, duh. Juga sekarang tidak bisa menggabungkan 2 Voucher.",3,67,3.217,2023-05-12 14:29:33,"Makasih atas ratingnya, Toppers. Jika kamu memiliki kritik/saran atau kendala transaksi, silakan hubungi Tokopedia Care melalui tkp.me/supportMainapps ya. Besar harapan kami, ke depannya Toppers bisa mendapat pengalaman bertransaksi yang lebih baik lagi di Tokopedia.",2023-05-12 15:04:28,3.217,negatif
5f0d32d9-94f1-45d6-bdb0-059bd5e58376,Nevil Burn,https://play-lh.googleusercontent.com/a-/ACB-R5Tb1rCbXi_ofVUN5vOFLywXIERt-dBTECia_7gnPw,"Kenapa tokopedia masih menggunakan jasa sicepet dalam gratis ongkir. Sementara si cepat sudah tidak sperti dulu, dan barang yg di kirim selalu di teruskan ke patner karena tidak adanya kurir. Dan ini makan waktu sampe belasan hari, jadi untuk sementara sy selaku buyer tetap di toped, instal dan beralih ke apk lain dulu. Sy rasa semua orang pasti mencari kenyamanan.",1,8,3.215,2023-05-14 16:59:06,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi. Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2022-10-31 15:37:12,3.215,negatif
14d5c516-4a9a-4487-8096-86fc2e0552aa,Eddy Susanto,https://play-lh.googleusercontent.com/a-/ACB-R5TJzpbzdaeFQcrgAaMSHqsHdQ7hRnSi--iLKKZxQg,"Sekarang ada biaya layanan sama biaya jasa aplikasi, nilai total biaya dan harga disembunyikan, kemarin sempat mau beli sesuatu dengan harga lumayan terjangkau sudah dengan ongkir, eh, di akhir mau pembayaran harganya beda, jadi malas deh. Dan masih tidak bisa gabung voucher. Adanya biaya jasa dan layanan sejati nya untuk memperbaiki kinerja aplikasi dan layanan, yah.. semoga dengan berkurangnya pelanggan Tokopedia nantinya kinerja nya semakin baik.",3,206,3.217,2023-05-07 14:00:17,"Makasih ratingnya, Toppers. Ke depannya kami akan meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi yang lebih baik lagi untuk semua pengguna.",2023-05-07 14:24:08,3.217,positif
e039ee98-67f2-437e-8faf-249b259a441a,Muhammad Zayadi Rahman,https://play-lh.googleusercontent.com/a-/ACB-R5RKKPmdIWE7GE2f2Kd5-hSlM6L6lRPFLn_tTjEHCQ,"Pelit promo, promo pengguna baru potongan ongkir 60k cuma satu dan kesalahan bayar langsung dibatalkan oleh sistem. Bagus sih proteksinya tapi itu sudah dihitung pernah belanja dan hal itu yang membuat promo pengguna barunya hilang. Lain kali minimal 2x untuk promo pengguna baru potongan ongkir 60k nya biar menghindari hal semacam ini. Pengalaman belanja pertama di Tokopedia jadi buruk.",1,121,3.217,2023-05-08 17:24:18,"Hi Toppers, silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps agar bisa kami bantu cek lebih lanjut. Kami akan terus berupaya untuk meningkatkan pengalaman Toppers dalam bertransaksi di Tokopedia.",2023-05-08 17:44:04,3.217,netral
243fb460-31c0-46c4-b3fd-a7cfb7e9f3dd,Ady Syafaat “Owner”,https://play-lh.googleusercontent.com/a-/ACB-R5S74-pnq-75hlHv6C5Uoszoj7oSIF4i8dAyyluy,"Sebagai Pengguna tokopedia yang sudah cukup lama, sangat sangat Kecewa dengan Tokopedia yang awalnya voucher cashback/promo gabisa dicombine dengan gratis ongkir, dan semakin kesini banyak biaya biaya tambahan seperti biaya layanan, biaya jasa aplikasi. pesan untuk tokopedia semoga bisa berbenah dan bisa bersaing dengan ecommerce yang lain dengan memberikan pelayanan terbaik..",1,113,3.217,2023-05-07 10:02:38,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi. Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2023-05-07 10:24:02,3.217,netral
af617ed0-14cc-45da-8d31-5c72522cc686,Anto Rohman,https://play-lh.googleusercontent.com/a-/ACB-R5TEHbH4gti_jVnik-B7qHlxf6xnfz5G7E1hqYBi,"Untuk kali ini cukup bintang 2 saja, - fitur COD yg selalu tidak bisa lagi d gunakan disemua tempat, - biaya layanan aplikasi yg naik, - kebijakan potongan gratis ongkir pembelian min Rp20K yg hanya bisa digunakan dalam kota/wilayah dr pihak pembeli. Semoga ada perbaikan yg baik!",2,11,3.217,2023-05-11 13:14:01,"Hi Toppers, silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps agar bisa kami bantu cek lebih lanjut. Kami akan terus berupaya untuk meningkatkan pengalaman Toppers dalam bertransaksi di Tokopedia.",2023-05-11 13:44:05,3.217,positif
740c9215-2b3a-4087-af1d-5fe96b55f3e9,Joko Win,https://play-lh.googleusercontent.com/a/AGNmyxbBbdhlkhvHfeBmGS164IzdQrGHC_6BHylUFpyz=mo,Saran untuk penilaian saat menerima pesanan diadakan juga penilaian untuk pengiriman / expedisi. Jadi terpisah dengan penilaian penjual. Jadi misal ada kendala lama di expedisi yg dapat bintang jelek hanya expedisi bukan penjual. Ini juga bisa jadi bahan evaluasi untuk pengiriman,4,102,3.217,2023-05-04 22:22:46,"Terima kasih sudah mempercayakan Tokopedia sebagai tempat bertransaksi online pilihan Toppers. Jika ada kritik/saran, atau kendala pada aplikasi Tokopedia, silakan hubungi Tokopedia Care melalui http://tokopedia.com/help ya. Yuk transaksi lagi karena semua Ada dan Bisa di Tokopedia!",2023-05-04 23:55:32,3.217,netral
c2b8e43e-7959-422b-8852-5fb3d7413439,Ayu Putri Ningsih,https://play-lh.googleusercontent.com/a-/ACB-R5RWkjBM_rgUZfFOvSjSLecebOIK3rc17BLhFK3j,"Baru pertama kali belanja di Toped langsung ada kendala yang kurang menyenangkan. Saya sudah di melakukan pembayaran tapi direfund pesanan saya dibatalkan otomatis oleh pihak Toped alasannya karena Terdeteksi ada kesamaan identitas atau mungkin akun ganda karena ingin dapat gratis ongkir, Padahal akun saya cuma satu dan mungkin alamat juga berbeda, Pengalaman pertama yang kurang menyenangkan. Padahal lagi butuh, makanya pesan dan langsung di TF. Semoga bisa diperbaiki lagi,maaf saya blacklist 🙏",1,254,3.215,2023-04-25 06:09:46,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi. Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2023-04-25 06:44:06,3.215,positif
